Code,Borough,Average Recycling Rate,Average IMD Score,CTax Band A,CTax Band B,CTax Band C,CTax Band D,CTax Band E,CTax Band F,CTax Band G,CTax Band H,Flytipping Incidents,AccomA caravan or other mobile or temporary structure,AccomDetached,"AccomIn a commercial building, for example, in an office building, hotel or over a shop",AccomIn a purpose-built block of flats or tenement,"AccomPart of a converted or shared house, including bedsits","AccomPart of another converted building, for example, former school, church or warehouse",AccomSemi-detached,AccomTerraced
E09000001,City of London,30.941976,14.72,1011.889556,1180.537481,1349.186074,1517.834,1855.130519,2192.42637,2529.723556,3035.668,1193.333333,0,0.142450142,4.131054131,86.95563696,1.343101343,5.535205535,0.305250305,1.587301587
E09000002,Barking and Dagenham,24.80513765,32.768,1029.937333,1201.593778,1373.250222,1544.906667,1888.219556,2231.532444,2574.844,3089.813333,3459.133333,0.081191897,5.075846764,1.023017903,27.67425811,2.133993694,0.259814071,22.13561753,41.61626003
E09000003,Barnet,32.07398008,16.148,1092.779111,1274.908519,1457.038593,1639.168667,2003.428815,2367.688296,2731.947778,3278.337333,4532.266667,0.120872701,10.10361477,1.33094274,36.56130596,8.821021106,0.7071053,27.47772249,14.87741494
E09000004,Bexley,48.43505897,16.273,1032.049556,1204.057259,1376.06563,1548.074,1892.090741,2236.106815,2580.123556,3096.148,2106.533333,0.043022939,7.402044114,1.223530399,21.32048941,1.770236521,0.358874268,44.23387689,23.64792545
E09000005,Brent,31.90733994,25.558,995.3484444,1161.23963,1327.130815,1493.022667,1824.805704,2156.588074,2488.371111,2986.045333,17728.86667,0.080936162,6.021313189,1.531885475,38.01133106,16.48231208,0.638215358,22.31393114,14.92007554
E09000006,Bromley,43.17907286,14.163,1015.560667,1184.821333,1354.081333,1523.341333,1861.861333,2200.382,2538.902,3046.682667,3051.533333,0.167860587,18.08403337,1.305336936,23.48207646,5.830946719,0.659662659,29.86298748,20.60709579
E09000007,Camden,28.42977752,20.131,662.9877778,773.4860741,883.9843704,994.482,1215.477926,1436.473852,1657.469778,1988.964,16926.06667,0.076542438,1.70765101,2.385752326,56.23066225,26.1796699,1.778803135,3.551137895,8.089781046
E09000008,Croydon,34.61318747,22.477,1130.625778,1319.063407,1507.501037,1695.938667,2072.813926,2449.689185,2826.564444,3391.877333,16270.85714,0.089574098,12.23569103,1.463261543,28.95466374,8.482078642,0.770206478,24.741412,23.26311247
E09000009,Ealing,39.53929629,22.71,1004.126222,1171.48037,1338.835185,1506.189333,1840.898296,2175.606593,2510.315556,3012.378667,9593.2,0.17058335,5.086077256,1.387111979,34.50571978,12.69424431,0.902296142,21.8653439,23.38862329
E09000010,Enfield,32.90656165,25.781,1060.673556,1237.451926,1414.230963,1591.01,1944.568074,2298.125481,2651.683556,3182.02,21031.13333,0.091793952,7.491544206,1.179262837,30.41274199,6.50496597,0.651654359,24.79759847,28.87043821
E09000011,Greenwich,32.86750779,24.464,973.7437778,1136.034074,1298.325037,1460.615333,1785.196593,2109.777852,2434.359111,2921.230667,9014.933333,0.080663545,4.082276816,0.959194767,43.09975976,6.016448349,1.462465148,17.62849177,26.67069984
E09000012,Hackney,24.21537385,32.526,964.5577778,1125.318074,1286.077704,1446.837333,1768.356593,2089.876519,2411.395111,2893.674667,8202.357143,0.236616107,1.350880005,1.643115037,60.39555426,15.52522177,3.366359034,3.597318979,13.88493481
E09000013,Hammersmith and Fulham,24.54717368,22.27,746.9231111,871.4105185,995.8972593,1120.384667,1369.358815,1618.332963,1867.307778,2240.769333,12025.4,0.116933151,1.148406632,1.461048952,48.09522051,24.54365299,1.16194626,4.665017294,18.80777421
E09000014,Haringey,28.49974562,27.956,1095.22,1277.756667,1460.293333,1642.83,2007.903333,2372.976667,2738.05,3285.66,25185.73333,0.14368363,3.860427054,1.602405511,35.37947703,22.83618163,1.165645339,9.419365889,25.59281392
E09000015,Harrow,39.0215448,15.031,1155.88,1348.526667,1541.173333,1733.82,2119.113333,2504.406667,2889.7,3467.64,8399.8,0.039044198,11.34959059,1.348698155,26.24662547,6.418866156,0.58566297,37.12657013,16.88494233
E09000016,Havering,31.25203087,16.789,1133.445333,1322.352,1511.26,1700.167333,2077.982667,2455.797333,2833.612667,3400.334667,3436.066667,0.270545139,11.1338211,1.141424015,19.84754683,1.707199068,0.364347285,41.20283974,24.33227682
E09000017,Hillingdon,38.20900883,18.223,1002.300222,1169.350593,1336.400296,1503.450667,1837.550741,2171.651481,2505.750889,3006.901333,5893.6,0.25818265,13.89974823,1.304646372,26.17074846,2.874799725,0.457770657,35.10002289,19.93408103
E09000018,Hounslow,30.17231826,21.487,1025.030444,1195.868074,1366.707037,1537.545333,1879.222593,2220.898519,2562.575778,3075.090667,19736.46667,0.224356795,4.877575004,1.152863706,37.42970639,6.351919659,0.818756617,28.62928682,20.51553501
E09000019,Islington,28.1111465,27.535,969.5337778,1131.122519,1292.711926,1454.300667,1777.478815,2100.656963,2423.834444,2908.601333,2522.266667,0.093268115,0.855994031,1.880906981,57.36196319,21.26927541,3.093392472,2.734828387,12.71037141
E09000020,Kensington and Chelsea,26.18544948,21.526,797.4215556,930.3245926,1063.228963,1196.132,1461.939407,1727.746148,1993.553556,2392.264,14728.6,0.110639316,1.146761557,1.519047904,56.6817176,23.50337898,1.152742061,3.085939836,12.79977274
E09000021,Kingston upon Thames,41.41123469,11.381,1237.900667,1444.217778,1650.534889,1856.851333,2269.484889,2682.118444,3094.752,3713.702667,1379.333333,0.146283485,12.62304574,1.423216408,29.76716545,6.508091305,0.623228598,31.69018377,17.21878524
E09000022,Lambeth,27.29297388,25.422,941.0422222,1097.882815,1254.722741,1411.563333,1725.243852,2038.925037,2352.605556,2823.126667,3877.466667,0.057911618,2.023936802,1.080274412,51.57475053,20.57867071,1.899946543,7.791339986,14.9931694
E09000023,Lewisham,19.90300835,26.661,1031.145333,1203.002889,1374.860444,1546.718,1890.433111,2234.148222,2577.863333,3093.436,16881.6,0.103764104,3.00834198,1.282753099,39.08475158,16.30240292,1.037641042,12.97786638,26.2024789
E09000024,Merton,34.82523425,14.649,1034.600889,1207.03437,1379.467852,1551.901333,1896.768296,2241.635259,2586.502222,3103.802667,7445.4,0.066072827,5.70061668,1.26639585,28.37583203,9.195135082,0.714565388,18.98247847,35.69890368
E09000025,Newham,17.01257321,29.577,902.5391111,1052.962519,1203.385259,1353.808667,1654.654815,1955.50163,2256.347778,2707.617333,32176.73333,0.172280948,5.486152594,1.371321715,43.61911193,7.021097923,0.727216061,10.33425967,31.26855916
E09000026,Redbridge,26.05064136,17.203,1061.030667,1237.868889,1414.707111,1591.546,1945.223111,2298.899556,2652.576667,3183.092,9769.615385,0.14752249,6.9701966,1.250566467,25.36133368,6.548841515,0.486920637,26.96383288,32.27078573
E09000027,Richmond upon Thames,39.79718512,9.425,1179.377111,1375.940296,1572.503481,1769.066,2162.191704,2555.317407,2948.443111,3538.132,3338,0.240381637,8.280775664,1.780558825,28.15315036,8.76525618,1.240319683,24.98482126,26.55473639
E09000028,Southwark,28.07317978,25.811,912.2146667,1064.251111,1216.286889,1368.322667,1672.394222,1976.466444,2280.537333,2736.645333,19066.2,0.165114892,1.817028238,1.117583207,64.42614931,9.601125227,2.87269336,5.656713908,14.34359186
E09000029,Sutton,38.31376784,13.987,1101.234222,1284.773037,1468.311852,1651.851333,2018.92963,2386.007259,2753.085556,3303.702667,2767.466667,0.046145626,10.4568417,1.334580075,31.25394667,3.915092048,0.569534172,27.93389032,24.4899694
E09000030,Tower Hamlets,21.25816883,27.913,882.0688889,1029.08037,1176.091852,1323.103333,1617.126296,1911.149259,2205.172222,2646.206667,7591,0.158450996,0.934943837,1.328167776,80.683911,2.287169617,3.49255861,2.276384994,8.838413167
E09000031,Waltham Forest,29.9077651,25.209,1104.462444,1288.538963,1472.616815,1656.693333,2024.847704,2393.001407,2761.155778,3313.386667,7182.2,0.098152593,4.121437109,1.449937318,30.66539684,11.97655999,0.661801149,16.36524426,34.66147073
E09000032,Wandsworth,23.06475521,16.611,506.6955556,591.1443704,675.5938519,760.0433333,928.9422963,1097.840593,1266.738889,1520.086667,14860,0.104080994,2.206080368,1.433115224,48.07814081,17.65956053,1.28827524,7.016369102,22.21437773
E09000033,Westminster,21.09747927,20.339,501.4595556,585.0359259,668.6122963,752.1886667,919.3414074,1086.494148,1253.648222,1504.377333,16073.92857,0.093867994,1.104267302,2.064041175,70.15208724,16.13896682,1.393254161,1.829898538,7.223616765
